('\ufeffÌRÌNKÈRINDÒ', 'NÍNÚ') 1
('báyìí', 'kúrò') 1
('kúrò', 'lára') 102
('lára', 'wa') 10
('wa', 'ìlọsíwájú') 1
('ìlọsíwájú', 'wa') 1
('wa', 'yóò') 42
('yóò', 'máa') 421
('máa', 'ya') 2
('ya', 'gbogbo') 18
('gbogbo', 'ara') 37
('ara', 'ayé') 3
('ayé', 'lẹ́nu') 1
('lẹ́nu', 'ni') 10
('ni', 'Ṣùgbọ́n') 29
('Ṣùgbọ́n', 'Bísọbù') 1
('Bísọbù', 'Phillips') 1
('Phillips', 'fi') 1
('fi', 'hàn') 284
('hàn', 'ni') 15
('ni', 'pé') 555
('pé', 'kì') 61
('kì', 'í') 1355
('í', 'ṣe') 1274
('ṣe', 'gbogbo') 124
('gbogbo', 'ọmọ') 50
('ń', 'purọ́') 3
('purọ́', 'Ta') 1
('Ta', 'ni') 296
('ni', 'ẹni') 227
('náà', 'ní') 365
('ní', 'òde') 48
('òde', 'ayé') 31
('ayé', 'yìí') 79
('yìí', 'yálà') 2
('yálà', 'dúdú') 1
('dúdú', 'yálà') 1
('yálà', 'funfun') 1
('funfun', 'tí') 17
('lé', 'wí') 1
('wí', 'pe') 34
('pe', 'Bísọ́bù') 1
('Bísọ́bù', 'Phillips') 1
('Phillips', 'bá') 1
('bá', 'òun') 30
('òun', 'lo') 5
('Yorùbá', 'Kò') 1
('Kò', 'sí') 258
('sí', 'àti') 30
('àti', 'ẹni') 104
('bá', 'máa') 34
('máa', 'pe') 31
('pe', 'àgùntàn') 2
('àgùntàn', 'ni') 9
('ni', 'màálù') 1
('màálù', 'tí') 1
('o', 'pe') 4
('pe', 'mọ́tò') 1
('mọ́tò', 'ní') 1
('ní', 'kẹ̀kẹ́') 13
('kẹ̀kẹ́', 'tí') 8
('pe', 'ọmọtúndé') 1
('ọmọtúndé', 'ní') 1
('ní', 'Akíntúndé') 1
('Akíntúndé', 'tí') 1
('ó', 'pe') 45
('pe', 'ará') 2
('ará', 'ayé') 11
('ayé', 'ní') 25
('ní', 'ará') 6
('ará', 'ọ̀run') 11
('ọ̀run', 'Ọ̀ótọ́') 1
('Ọ̀ótọ́', 'nìkan') 1
('nìkan', 'ni') 139
('ni', 'Bísọ̀bù') 1
('Bísọ̀bù', 'yìí') 2
('yìí', 'máa') 69
('máa', 'ń') 1287
('ń', 'sọ') 556
('sọ', 'gbogbo') 52
('ènìyàn', 'sì') 138
('sì', 'ti') 1321
('ti', 'mọ̀ọ́') 1
('mọ̀ọ́', 'bẹ́ẹ̀') 1
('fún', 'un') 1858
('un', 'Àpẹẹrẹ') 1
('gbogbo', 'wa') 115
('wa', 'Bí') 29
('Bí', 'ẹ̀rù') 2
('ẹ̀rù', 'bá') 2
('bá', 'ń') 482
('ń', 'bà') 37
('bà', 'ọ́') 15
('ọ́', 'láti') 29
('láti', 'sọ') 211
('sọ', 'òótọ́') 5
('òótọ́', 'máṣe') 1
('máṣe', 'gbàgbé') 7
('gbàgbé', 'Bísọ̀bù') 1
('Bísọ̀bù', 'Phillips') 1
('Phillips', 'olódodo') 1
('olódodo', 'nítorí') 3
('nítorí', 'Bísọ̀bù') 1
('yìí', 'tí') 207
('ó', 'jẹ́') 841
('jẹ́', 'asáájú') 1
('asáájú', 'pàtàkì') 1
('pàtàkì', 'fún') 29
('kò', 'fi') 279
('fi', 'èké') 5
('èké', 'kọ́') 1
('kọ́', 'ìwọ́') 1
('ìwọ́', 'àti') 2
('èmi', 'Ọba') 2
('Ọba', 'Ọlagbegi') 2
('Ọlagbegi', 'II') 3
('II', 'tí') 1
('jẹ́', 'Ọlọ́wọ̀') 1
('Ọlọ́wọ̀', 'ní') 1
('ní', 'ọ̀wọ̀') 5
('ọ̀wọ̀', 'lónìí') 2
('lónìí', 'jẹ́') 2
('ẹni', 'àkíyèsí') 1
('àkíyèsí', 'pàtàkì') 1
('pàtàkì', 'kan') 12
('kan', 'Ìgbésí') 1
('ayé', 'rẹ̀') 48
('rẹ̀', 'fi') 37
('ni', 'ohun') 381
('ohun', 'tí') 2440
('tí', 'ènìyàn') 129
('ènìyàn', 'lè') 34
('lè', 'fi') 213
('fi', 'ọwọ́') 236
('ọwọ́', 'ara') 23
('rẹ̀', 'ṣe') 72
('ṣe', 'Ta') 2
('lè', 'gbọ́') 16
('gbọ́', 'kí') 32
('kí', 'Olọ́wọ̀') 1
('Olọ́wọ̀', 'sọ') 1
('sọ', 'èdè') 32
('èdè', 'Gẹ̀ẹ́sì') 24
('Gẹ̀ẹ́sì', 'tí') 6
('tí', 'kò') 1308
('kò', 'ní') 1051
('ní', 'rò') 1
('ó', 'ti') 1855
('ti', 'jáde') 78
('jáde', 'ní') 103
('ní', 'fásitì') 1
('fásitì', 'tàbí') 1
('tàbí', 'pé') 17
('wọ́n', 'bíi') 1
('bíi', 'sí') 3
('sí', 'ilẹ̀') 222
('ilẹ̀', 'Gẹ̀ẹ́sì') 12
('Gẹ̀ẹ́sì', 'ni') 6
('ni', 'Bẹ́ẹ̀') 11
('Bẹ́ẹ̀', 'ni') 625
('ó', 'kọ́') 79
('kọ́', 'nǹkan') 1
('nǹkan', 'rẹ̀') 6
('rẹ̀', 'fún') 220
('fún', 'ara') 304
('rẹ̀', 'ni') 438
('lè', 'dé') 9
('dé', 'ọ̀wọ̀') 1
('ti', 'yóò') 44
('yóò', 'bojúwo') 1
('bojúwo', 'ẹ̀yìn') 2
('ẹ̀yìn', 'tí') 5
('tí', 'àyípadà') 2
('àyípadà', 'rere') 5
('rere', 'gbogbo') 15
('gbogbo', 'tí') 253
('dé', 'lákòókò') 1
('lákòókò', 'Ọlagbegi') 1
('II', 'kò') 1
('ní', 'yà') 3
('yà', 'lẹnu') 1
('lẹnu', 'bẹ́ẹ̀') 2
('sí', 'ọmọ') 24
('Yorùbá', 'tí') 55
('tí', 'yòó') 4
('yòó', 'gbọ́') 1
('kí', 'Ọlọ́wwọ̀') 1
('Ọlọ́wwọ̀', 'yìí') 1
('yìí', 'sọ̀rọ̀') 7
('sọ̀rọ̀', 'láàrin') 2
('àwọn', 'ìgbìímọ̀') 1
('ìgbìímọ̀', 'pàtàkì') 1
('pàtàkì', 'gbogbo') 3
('ó', 'máa') 466
('ń', 'lọ') 500
('lọ', 'tí') 93
('ní', 'fi') 70
('fi', 'ọba') 9
('ọba', 'yìí') 47
('yìí', 'ṣe') 80
('ṣe', 'fọ́rífọ́rí') 2
('fọ́rífọ́rí', 'Ọba') 1
('II', 'kúrù') 1
('kúrù', 'ní') 2
('ní', 'ǹǹkan') 1
('ǹǹkan', 'yẹpẹrẹ') 1
('yẹpẹrẹ', 'àfi') 1
('àfi', 'bí') 47
('máa', 'tan') 9
('tan', 'ara') 16
('ara', 'ẹni') 38
('ẹni', 'jẹ') 3
('jẹ', 'Omidan') 1
('Omidan', 'J') 1
('J', 'A') 1
('A', 'Mars') 1
('Mars', 'pẹ́') 1
('pẹ́', 'púpọ̀') 21
('púpọ̀', 'ní') 26
('wa', 'ó') 62
('ó', 'dúró') 190
('dúró', 'gẹ́gẹ́') 23
('bí', 'àna') 1
('àna', 'fún') 1
('fún', 'púpọ̀') 3
('nínú', 'ọmọ') 15
('Yorùbá', 'nítorí') 12
('nítorí', 'ọ̀pọ̀lọpọ̀') 17
('àwọn', 'obìnrin') 224
('obìnrin', 'tí') 114
('ti', 'kọ́') 73
('kọ́', 'ni') 101
('ni', 'wọ́n') 931
('wọ́n', 'ń') 657
('ń', 'pè') 362
('pè', 'é') 165
('é', 'ní') 100
('ní', 'ìyá') 6
('ìyá', 'tí') 8
('tí', 'wọ́n') 2437
('wọ́n', 'sì') 2227
('ti', 'di') 236
('di', 'ìyàwó') 5
('ìyàwó', 'ènìyàn') 2
('pàtàkì', 'káàkiri') 1
('káàkiri', 'Gbogbo') 1
('Gbogbo', 'agbára') 2
('agbára', 'ni') 5
('obìnrin', 'náà') 197
('náà', 'fi') 73
('ṣiṣẹ́', 'lọ́dọ̀') 2
('lọ́dọ̀', 'wa') 18
('wa', 'bẹ́ẹ̀') 11
('ni', 'ọ̀pọ̀lọpọ̀') 16
('ọ̀pọ̀lọpọ̀', 'ọmọ') 8
('ọmọ', 'tí') 93
('wọ́n', 'bí') 38
('bí', 'lójú') 1
('lójú', 'rẹ̀') 24
('rẹ̀', 'tiwọ') 1
('tiwọ', 'ilé') 1
('ilé', 'ọkọ') 18
('ọkọ', 'láti') 2
('láti', 'ọjọ́') 68
('ọjọ́', 'pépẹ́') 1
('pépẹ́', 'a') 1
('kò', 'gbọdọ̀') 372
('gbọdọ̀', 'gbàgbé') 4
('gbàgbé', 'obìnrin') 1
('yìí', 'láéláé') 1
('láéláé', 'Omidan') 1
('Omidan', 'T') 1
('T', 'V') 1
('V', 'Herklots') 1
('Herklots', 'jẹ́') 1
('o', 'mọ') 11
('mọ', 'ìwé') 14
('ìwé', 'lọpọlọpọ') 1
('lọpọlọpọ', 'Obìnrin') 1
('Obìnrin', 'yìí') 11
('yìí', 'kò') 121
('kò', 'ba') 25
('ba', 'tì') 1
('tì', 'ṣiṣẹ') 1
('ṣiṣẹ', 'lábẹ́') 1
('lábẹ́', 'C') 1
('C', 'M') 1
('M', 'S') 2
('S', 'bí') 1
('bí', 'ó') 846
('bá', 'ṣe') 292
('ṣe', 'pé') 202
('pé', 'owó') 9
('owó', 'ló') 5
('ló', 'ń') 174
('wá', 'kiri') 12
('kiri', 'Lónìí') 1
('Lónìí', 'òun') 1
('òun', 'ni') 281
('ni', 'Alága') 1
('Alága', 'ìpàdé') 2
('ìpàdé', 'àwọn') 10
('àwọn', 'alákòóso') 21
('ẹ̀kọ́', 'tí') 31
('wọ́n', 'jẹ́') 161
('jẹ́', 'ènìyàn') 59
('gbogbo', 'ní') 29
('ilẹ̀', 'Yorùbá') 69
('Yorùbá', 'bẹ́ẹ̀') 4
('ni', 'ìgbésí') 2
('ìgbésí', 'ayé') 65
('ayé', 'obìnrin') 1
('pé', 'nǹkan') 18
('nǹkan', 'mìíràn') 21
('mìíràn', 'wà') 8
('wà', 'tí') 136
('o', 'lágbára') 3
('lágbára', 'jú') 1
('jú', 'owó') 1
('owó', 'lọ') 4
('lọ', 'Kí') 23
('Kí', 'ènìyàn') 3
('ènìyàn', 'mu') 6
('mu', 'kí') 33
('kí', 'ayé') 22
('ayé', 'ọmọ') 8
('ọmọ', 'ẹlòmíràn') 8
('ẹlòmíràn', 'dára') 2
('dára', 'lágbára') 1
('lágbára', 'ju') 8
('ju', 'ohun') 18
('ohun', 'gbogbo') 444
('gbogbo', 'Ó') 8
('Ó', 'tun') 1
('tun', 'fi') 3
('fi', 'han') 21
('han', 'ni') 4
('pé', 'obìnrin') 18
('obìnrin', 'lè') 2
('lè', 'ṣe') 257
('ṣe', 'nǹkan') 96
('nǹkan', 'ńlá') 11
('ńlá', 'nítorí') 10
('nítorí', 'bí') 55
('ti', 'jẹ́') 150
('yìí', 'àwọn') 72
('ọkùnrin', 'ńlá') 3
('ńlá', 'gbogbo') 8
('gbogbo', 'ń') 5
('lábẹ́', 'rẹ̀') 18
('rẹ̀', 'dì') 4
('dì', 'bí') 2
('yìí', 'Apẹẹrẹ') 1
('Apẹẹrẹ', 'fún') 1
('òbí', 'ní') 4
('ní', 'èyí') 39
('èyí', 'L') 1
('L', 'Murby') 1
('Murby', 'jẹ') 1
('jẹ', 'ọ̀rẹ́') 3
('ọ̀rẹ́', 'ọ̀pọ̀lọpọ̀') 1
('Yorùbá', 'o') 2
('fi', 'ìwà') 24
('ìwà', 'rẹ̀') 16
('rẹ̀', 'fà') 7
('fà', 'wọ́n') 25
('wọ́n', 'mọ́ra') 1
('mọ́ra', 'ó') 2
('jẹ́', 'àpẹẹrẹ') 6
('àpẹẹrẹ', 'pé') 1
('pé', 'ènìyàn') 42
('ènìyàn', 'dúdú') 7
('dúdú', 'àti') 4
('àti', 'ènìyàn') 45
('ènìyàn', 'funfun') 4
('funfun', 'lè') 1
('lè', 'jẹ') 57
('ọ̀rẹ́', 'ara') 6
('ara', 'wọn') 898
('wọn', 'Ọ̀gá') 2
('Ọ̀gá', 'Ilé-Ẹ̀kọ́') 1
('Ilé-Ẹ̀kọ́', 'gíga') 1
('gíga', 'ní') 15
('ní', 'Gbóbì') 1
('Gbóbì', 'ni') 1
('ni', 'ọkùnrin') 102
('ọkùnrin', 'náà') 421
('náà', 'ti') 282
('jẹ́', 'rí') 9
('ṣùgbọ́n', 'lónìí') 4
('lónìí', 'o') 4
('ṣiṣẹ́', 'ní') 25
('ní', 'ibib') 1
('ibib', 'ti') 2
('ti', 'wọn') 145
('wọn', 'ti') 225
('ń', 'tẹ') 25
